10513916.000;0.000;913223.000;
10513916.000;0.000;2766412.000;
10513916.000;0.000;0.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9135.000;
10513916.000;0.000;913564.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9066.000;
10513916.000;0.000;90.000;
10513916.000;0.000;9147.000;
10513916.000;0.000;914809.000;
10513916.000;0.000;2924976.000;
10513916.000;0.000;0.000;
11.000;0.000;91.000;
1141.000;0.000;9208.000;
114166.000;0.000;920925.000;
11416720.000;0.000;3536582.000;
-9556205.000;0.000;0.000;
-9556205.000;0.000;90.000;
-9556205.000;0.000;9168.000;
-9556205.000;0.000;916961.000;
-9556205.000;0.000;3140174.000;
-9556205.000;0.000;0.000;
9.000;0.000;90.000;
965.000;0.000;9148.000;
96610.000;0.000;914923.000;
9661173.000;0.000;2936303.000;
-7998976.000;0.000;0.000;
9.000;0.000;90.000;
1006.000;0.000;9170.000;
100688.000;0.000;917074.000;
10068913.000;0.000;3151494.000;
-11502958.000;0.000;0.000;
11.000;0.000;90.000;
1194.000;0.000;9155.000;
119490.000;0.000;915602.000;
11949047.000;0.000;3004257.000;
-601605.000;0.000;0.000;
9.000;0.000;90.000;
941.000;0.000;9163.000;
94232.000;0.000;916394.000;
10.000;0.000;91.000;
1078.000;0.000;9188.000;
10.000;0.000;90.000;
1025.000;0.000;9160.000;
102613.000;0.000;916055.000;
10261456.000;0.000;3049565.000;
7751355.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9157.000;
9.000;0.000;915828.000;
9.000;0.000;3026911.000;
9.000;0.000;90.000;
9.000;0.000;9168.000;
9.000;0.000;916961.000;
9.000;0.000;3140174.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9163.000;
9.000;0.000;916394.000;
9.000;0.000;3083539.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9154.000;
9.000;0.000;915489.000;
9.000;0.000;2992930.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9147.000;
9.000;0.000;914809.000;
9.000;0.000;2924976.000;
9.000;0.000;0.000;
0
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;915715.000;
9.000;0.000;90.000;
9.000;0.000;9147.000;
9.000;0.000;90.000;
9.000;0.000;9141.000;
9.000;0.000;914243.000;
9.000;0.000;2868348.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9154.000;
9.000;0.000;915489.000;
9.000;0.000;2992930.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9145.000;
9.000;0.000;914582.000;
9.000;0.000;2902322.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9158.000;
9.000;0.000;915942.000;
9.000;0.000;3038238.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9151.000;
9.000;0.000;915149.000;
9.000;0.000;2958957.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
